NAV Date,NAV (Rs)
26-08-2022,79.067
25-08-2022,78.749
24-08-2022,78.82
23-08-2022,78.409
22-08-2022,77.759
19-08-2022,79.118
18-08-2022,80.052
17-08-2022,79.944
16-08-2022,79.598
12-08-2022,78.893
11-08-2022,78.721
10-08-2022,77.831
08-08-2022,77.903
05-08-2022,77.604
04-08-2022,77.561
03-08-2022,77.59
02-08-2022,77.765
01-08-2022,77.7
29-07-2022,76.7
28-07-2022,75.93
27-07-2022,75.24
26-07-2022,74.46
25-07-2022,75.12
22-07-2022,75.4
21-07-2022,75.06
20-07-2022,74.43
19-07-2022,74.09
18-07-2022,73.58
15-07-2022,72.5
14-07-2022,72.18
13-07-2022,72.3
12-07-2022,72.46
11-07-2022,73.09
08-07-2022,72.9
07-07-2022,72.49
06-07-2022,71.52
05-07-2022,70.63
04-07-2022,70.75
01-07-2022,70.12
30-06-2022,69.97
29-06-2022,70.24
28-06-2022,70.29
27-06-2022,70.17
24-06-2022,69.4
23-06-2022,68.66
22-06-2022,67.66
21-06-2022,68.47
20-06-2022,67.05
17-06-2022,67.38
16-06-2022,67.72
15-06-2022,69.3
14-06-2022,69.1
13-06-2022,69.11
10-06-2022,70.95
09-06-2022,71.62
08-06-2022,71.43
07-06-2022,71.62
06-06-2022,72.18
03-06-2022,72.38
02-06-2022,73.12
01-06-2022,72.81
31-05-2022,72.88
30-05-2022,72.93
27-05-2022,71.32
26-05-2022,70.54
25-05-2022,69.7
24-05-2022,70.52
23-05-2022,71.13
20-05-2022,71.32
19-05-2022,69.72
18-05-2022,71.69
17-05-2022,71.86
16-05-2022,70.26
13-05-2022,69.67
12-05-2022,69.56
11-05-2022,70.95
10-05-2022,71.28
09-05-2022,71.96
06-05-2022,72.67
05-05-2022,73.99
04-05-2022,73.98
02-05-2022,75.64
29-04-2022,75.97
28-04-2022,76.51
27-04-2022,75.67
26-04-2022,76.01
25-04-2022,75.06
22-04-2022,76.18
21-04-2022,77.07
20-04-2022,76.18
19-04-2022,75.55
18-04-2022,76.45
13-04-2022,77.77
12-04-2022,77.83
11-04-2022,78.63
